               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,              0.1103,            0.042108,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,            0.045177,           0.0041769,           0.0041769
                  60,             0.11142,            0.051383,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,            0.044218,            0.004218,            0.004218
                  61,             0.11518,            0.031002,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.043258,           0.0042581,           0.0042581
                  62,             0.10796,            0.064313,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.042297,           0.0042972,           0.0042972
                  63,             0.11005,            0.049119,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.041335,           0.0043353,           0.0043353
                  64,             0.11209,            0.056896,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.040372,           0.0043725,           0.0043725
                  65,             0.11359,            0.074503,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.039409,           0.0044086,           0.0044086
                  66,             0.10984,            0.058197,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.038444,           0.0044438,           0.0044438
                  67,             0.11345,            0.065443,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.037478,           0.0044779,           0.0044779
                  68,             0.11044,            0.064518,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.036511,           0.0045111,           0.0045111
                  69,             0.11139,            0.049626,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10633,            0.059694,                   0,            0.035543,           0.0045433,           0.0045433
                  70,              0.1107,            0.059898,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.034574,           0.0045745,           0.0045745
                  71,             0.10902,            0.037095,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.033605,           0.0046047,           0.0046047
                  72,             0.10735,            0.047779,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.032634,           0.0046339,           0.0046339
                  73,              0.1075,            0.047023,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.031662,           0.0046621,           0.0046621
                  74,             0.10946,            0.052775,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.030689,           0.0046894,           0.0046894
                  75,             0.10973,            0.061252,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.029716,           0.0047156,           0.0047156
                  76,             0.10739,            0.055166,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.028741,           0.0047409,           0.0047409
                  77,             0.10811,            0.050785,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.027765,           0.0047651,           0.0047651
                  78,             0.11399,            0.042278,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.026788,           0.0047884,           0.0047884
                  79,             0.10923,            0.070511,                   0,           0.0033333,              0.0625,           0.0021097,          0.00042194,             0.10633,            0.059615,                   0,            0.025811,           0.0048107,           0.0048107
                  80,             0.10648,            0.050544,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.024832,            0.004832,            0.004832
                  81,             0.10564,            0.046837,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.023852,           0.0048523,           0.0048523
                  82,             0.10685,            0.052169,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.022872,           0.0048716,           0.0048716
                  83,             0.10765,             0.05126,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,             0.02189,           0.0048899,           0.0048899
                  84,             0.10641,            0.060856,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.020907,           0.0049073,           0.0049073
                  85,             0.11111,            0.056802,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.019924,           0.0049236,           0.0049236
                  86,             0.10828,             0.05614,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.018939,            0.004939,            0.004939
                  87,             0.11052,            0.052293,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.017953,           0.0049533,           0.0049533
                  88,             0.10911,            0.065264,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.016967,           0.0049667,           0.0049667
                  89,             0.11057,            0.050227,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.015979,           0.0049791,           0.0049791
                  90,             0.11494,            0.040148,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,             0.01499,           0.0049905,           0.0049905
                  91,             0.10924,            0.052332,                   0,           0.0033333,              0.0625,           0.0023373,          0.00046745,             0.10627,             0.05959,                   0,            0.014001,           0.0050009,           0.0050009
                  92,             0.11259,            0.062517,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,             0.01301,           0.0050103,           0.0050103
                  93,             0.10823,            0.045879,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,            0.012019,           0.0050187,           0.0050187
                  94,             0.10697,            0.052207,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,            0.011026,           0.0050262,           0.0050262
                  95,             0.10606,            0.054294,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,            0.010033,           0.0050326,           0.0050326
                  96,             0.10705,             0.06465,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,           0.0090381,           0.0050381,           0.0050381
                  97,             0.10903,            0.057633,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,           0.0080425,           0.0050425,           0.0050425
                  98,             0.10749,            0.053138,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,            0.007046,            0.005046,            0.005046
                  99,              0.1094,            0.053442,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,           0.0060485,           0.0050485,           0.0050485
                 100,             0.11193,            0.041514,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,             0.00505,             0.00505,             0.00505
                 101,             0.10691,            0.053845,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,             0.00505,             0.00505,             0.00505
                 102,             0.11183,             0.06127,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,             0.11191,            0.056078,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,            0.004951,            0.004951,            0.004951
                 104,             0.10433,             0.05171,                   0,           0.0033333,              0.0625,           0.0026197,          0.00052394,             0.10607,            0.059727,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,             0.10882,            0.045712,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,            0.004852,            0.004852,            0.004852
                 106,             0.10408,            0.046718,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,             0.10943,            0.056738,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,            0.004753,            0.004753,            0.004753
                 108,             0.10781,            0.055585,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,             0.11086,            0.053458,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,            0.004654,            0.004654,            0.004654
                 110,             0.10556,            0.041507,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,             0.11054,            0.052739,                   0,           0.0033333,              0.0625,           0.0028041,          0.00084124,             0.10544,            0.060295,                   0,            0.004555,            0.004555,            0.004555
